BẢNG QUYỀN LỢI				
Quyền lợi	NTT Kim Cương	NTT Vàng	NTT Bạc	NTT Đồng
Quyền lợi truyền thông				
Logo/tên thương hiệu trên landing page/proposal	Bằng logo dự án	Bằng logo dự án	Bằng 1/2 logo dự án	Bằng 1/2 logo dự án
Hashtag xuất hiện trong các bài đăng trên Fanpage	2 hashtag	1 hashtag	1 hashtag	1 hashtag
Ghi nhận danh vị trên landing page/proposal/key visual/ấn phẩm truyền thông	✓	✓	✓	✓
Quyền sử dụng danh vị đồng hành/tài trợ	✓	✓	✓	✓
Cung cấp tư liệu truyền thông để đơn vị đăng lại	✓	✓	✓	✓
Bài đăng giới thiệu chung	✓	✓	✓	✓
Bài đăng cảm ơn chung	✓	✓	✓	✓
Bài đăng giới thiệu riêng	✓	✓	✓	-
Bài đăng cảm ơn riêng	✓	✓	✓	-
Tên thương hiệu xuất hiện trong TVC/video launch	✓	✓	✓	-
Logo/tên thương hiệu trong các video truyền thông	✓	✓	-	-
Được mời tham gia hoạt động beta test/launching/offline nếu có	✓	✓	-	-
Tài liệu quảng bá của NTT được hỗ trợ truyền thông trên fanpage của dự án	✓	-	-	-
Sản phẩm thương hiệu được lồng ghép vào nội dung truyền thông	2 nội dung	1 nội dung	-	-
Ưu tiên xuất hiện trong hoạt động offline/vườn hoa thật	Ưu tiên xuất hiện trên backdrop, standee, hình ảnh hiện trường, recap nếu có hoạt động offline/vườn hoa thật	Có thể xuất hiện trên ấn phẩm/hình ảnh hoạt động	-	-
Quyền lợi xuất hiện trong sản phẩm game				
Tên thương hiệu/sản phẩm xuất hiện trong game	✓	✓	-	-
Thiết kế vật phẩm/hoa/decor mang dấu ấn thương hiệu	✓	✓	-	-
Khu vực thương hiệu riêng hoặc nhiệm vụ đồng hành riêng trong game	✓	-	-	-
Voucher/quà tặng/thông điệp thương hiệu tích hợp trong hoạt động game	✓	-	-	-
Ưu tiên đồng hành các hoạt động mở rộng của game trong tương lai	✓	-	-	-
Mini challenge/sự kiện trong game mang tên thương hiệu	Được đặt tên hoặc đồng hành cùng 01 mini challenge/sự kiện chính trong game	-	-	-
