,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unit,,3/7,4/7,5/7,6/7,8/7,9/7,10/7,11/7,12/7,13/7,14/7,15/7,16/7,17/7,18/7,19/7,20/7,21/7,22/7,23/7,24/7,25/7,26/7,27/7,28/7,29/7,30/7,31/7,
Số lượng người tải ,user,,13,5,0,7,3,0,5,0,0,3,8,0,3,8,0,1,3,0,0,3,9,5,11,3,9,13,3,7,
Tổng số người tải,user,,13,18,18,25,28,28,33,33,33,36,44,44,47,55,55,56,59,59,59,62,71,76,87,90,99,112,115,122,122
Số người truy cập theo ngày,user,,13,16,11,21,24,21,28,30,23,22,28,25,31,42,40,36,22,26,21,29,46,59,63,53,55,51,53,68,34.17857143
Số người nạp tiền mua coin ,user,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,
Tỉ lệ ( bao nhiêu người chịu bỏ tiền mua trong tổng người chơi ),%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.79%,0.00%,1.64%,
200 coin ,user,"20,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,
500 coin ,user,"50,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1000 coin ,user,"100,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2000 coin ,user,"200,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Revenue ,"110,000",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40,000",0,"70,000",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unit,,1/8,2/8,3/8,4/8,5/8,6/8,7/8,8/8,9/8,10/8,11/8,12/8,13/8,14/8,15/8,16/8,17/8,18/8,19/8,20/8,21/8,22/8,23/8,24/8,25/8,26/8,27/8,28/8,
Số lượng người tải ,user,,12,3,0,1,0,5,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
Tổng số người tải,user,,134,137,137,138,138,143,143,143,146,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,
Số người truy cập theo ngày,user,,77,80,77,73,69,61,71,65,87,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Số người nạp tiền mua coin ,user,,4,6,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tỉ lệ ( bao nhiêu người chịu bỏ tiền mua trong tổng người chơi ),%,,2.99%,4.38%,2.92%,0.72%,0.00%,0.00%,0.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
200 coin ,user,"20,000",3,6,3,1,0,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
500 coin ,user,"50,000",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1000 coin ,user,"100,000",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2000 coin ,user,"200,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Revenue ,"610,000",,"110,000","120,000","160,000","20,000",0,"60,000","20,000","60,000","60,000",0,0,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unit,,Tháng 7,Tháng 8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tổng số người tải,user,,122,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
Số lượng trung bình truy cập theo ngày,user,,34,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tổng số người nạp tiền mua coin ,user,,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tỉ lệ ( bao nhiêu người chịu bỏ tiền mua trong tổng người chơi ),%,,3.28%,51.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,
200 coin ,user,"20,000",3,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
500 coin ,user,"50,000",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000 coin ,user,"100,000",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000 coin ,user,"200,000",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue ,"720,000",,"110,000","610,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
